SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1168,INT_4_TYPE,Bin 4 Count,,&LastSet.iBinData32[0][4],Bin 4 Count,214,SECSGEM/uHGemHT9045_SV.cpp#L214
1169,INT_4_TYPE,Bin 5 Count,,&LastSet.iBinData32[0][5],Bin 5 Count,215,SECSGEM/uHGemHT9045_SV.cpp#L215
1170,INT_4_TYPE,Bin 6 Count,,&LastSet.iBinData32[0][6],Bin 6 Count,216,SECSGEM/uHGemHT9045_SV.cpp#L216
1171,INT_4_TYPE,Bin 7 Count,,&LastSet.iBinData32[0][7],Bin 7 Count,217,SECSGEM/uHGemHT9045_SV.cpp#L217
1172,INT_4_TYPE,Bin 8 Count,,&LastSet.iBinData32[0][8],Bin 8 Count,218,SECSGEM/uHGemHT9045_SV.cpp#L218
1173,INT_4_TYPE,Bin 9 Count,,&LastSet.iBinData32[0][9],Bin 9 Count,219,SECSGEM/uHGemHT9045_SV.cpp#L219
1174,INT_4_TYPE,Bin 10 Count,,&LastSet.iBinData32[0][10],Bin 10 Count,220,SECSGEM/uHGemHT9045_SV.cpp#L220
1175,INT_4_TYPE,Bin 11 Count,,&LastSet.iBinData32[0][11],Bin 11 Count,221,SECSGEM/uHGemHT9045_SV.cpp#L221
1176,INT_4_TYPE,Bin 12 Count,,&LastSet.iBinData32[0][12],Bin 12 Count,222,SECSGEM/uHGemHT9045_SV.cpp#L222
1177,INT_4_TYPE,Bin 13 Count,,&LastSet.iBinData32[0][13],Bin 13 Count,223,SECSGEM/uHGemHT9045_SV.cpp#L223
1178,INT_4_TYPE,Bin 14 Count,,&LastSet.iBinData32[0][14],Bin 14 Count,224,SECSGEM/uHGemHT9045_SV.cpp#L224
1179,INT_4_TYPE,Bin 15 Count,,&LastSet.iBinData32[0][15],Bin 15 Count,225,SECSGEM/uHGemHT9045_SV.cpp#L225
1190,ASCII_TYPE,GET OS Tester Data,,&fMain->SVID1190_OSSetup,"Data= Workfile, ClampV, UpLimit, LowLimit, Current, delayms",226,SECSGEM/uHGemHT9045_SV.cpp#L226
1220,INT_4_TYPE,Loader Count AUTO,,&LastSet.SendCT_ART[0],MRT Loading Count,229,SECSGEM/uHGemHT9045_SV.cpp#L229
