"File","Line","Status","Old","New"
"AutoAlignment.cpp","4841","OK","sqrt(fabs(dRealLength))/sqrt(fabs(dCalLength))","ChangeToFloatNonPcnt((double)(sqrt(fabs(dRealLength))), (double)(sqrt(fabs(dCalLength))))"
"AutoAlignment.cpp","4828","OK","sqrt(fabs(dRealLength))/sqrt(fabs(dCalLength))","ChangeToFloatNonPcnt((double)(sqrt(fabs(dRealLength))), (double)(sqrt(fabs(dCalLength))))"
"AutoAlignment.cpp","1932","OK","(2*iDis)/Round(sqrt(dLength),2)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(Round(sqrt(dLength),2)))"
"AutoAlignment.cpp","1927","OK","(2*iDis)/Round(sqrt(dLength), 2)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(Round(sqrt(dLength), 2)))"
"AutoAlignment.cpp","1896","OK","(2*iDis)/sqrt(dLength)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(sqrt(dLength)))"
"AutoAlignment.cpp","1891","OK","(2*iDis)/sqrt(dLength)","ChangeToFloatNonPcnt((double)((2*iDis)), (double)(sqrt(dLength)))"
"CAlignmentB.cpp","1235","OK","iX120PitchCountAvg/iCnt","ChangeToFloatNonPcnt((double)(iX120PitchCountAvg), (double)(iCnt))"
"CAlignmentB.cpp","1234","OK","iX40PitchCountAvg/iCnt","ChangeToFloatNonPcnt((double)(iX40PitchCountAvg), (double)(iCnt))"
"CAlignmentB.cpp","1223","OK","((  12000/3)-(- iOpenPickerHx+iOpenPickerEx  ))/dPitchScaleX","ChangeToFloatNonPcnt((double)(((  12000/3)-(- iOpenPickerHx+iOpenPickerEx  ))), (double)(dPitchScaleX))"
"CAlignmentB.cpp","1222","OK","((   4000/3)-(-iClosePickerHx+iClosePickerEx ))/dPitchScaleX","ChangeToFloatNonPcnt((double)(((   4000/3)-(-iClosePickerHx+iClosePickerEx ))), (double)(dPitchScaleX))"
